Number of segments;Max;Median;Min
186;36,041199999999996;26,00525;23,0045
187;37,0413;26,0061;23,0047
188;37,0413;26,0062;23,0047
189;37,0413;26,0219;23,0047
190;37,0413;26,027649999999998;23,0047
191;37,0413;26,0411;23,0047
192;37,0413;27,005499999999998;24,0046
193;38,041399999999996;27,006249999999998;24,0046
194;38,041399999999996;27,0065;24,005
195;38,041399999999996;27,0172;24,005
196;38,041399999999996;27,02215;24,005
197;38,041399999999996;27,5221;24,005
198;38,041399999999996;27,5221;24,5104
199;39,0417;28,006149999999998;24,5104
200;39,0417;28,0064;25,0049
201;39,0417;28,0068;25,0049
202;39,0417;28,040799999999997;25,0049
203;39,0417;28,995549999999998;25,0049
204;47,558499999999995;29,006249999999998;25,0049
205;47,558499999999995;29,0064;25,5108
206;47,558499999999995;29,0065;25,5108
207;48,558;29,007649999999998;25,5108
208;48,558;29,0294;26,005599999999998
209;48,558;29,04175;26,005599999999998
210;49,5582;30,0064;26,005599999999998
211;49,5582;30,0067;26,005599999999998
212;50,5584;30,0068;26,005599999999998
213;50,5584;30,017799999999998;27,005799999999997
214;50,5584;30,0294;27,005799999999997
215;50,5584;31,000549999999997;27,005799999999997
216;50,5584;31,006249999999998;27,005799999999997
217;51,5586;31,00685;28,0061
218;51,5586;31,006999999999998;28,0061
219;52,558899999999994;31,029349999999997;28,0061
220;52,558899999999994;31,040149999999997;28,0061
221;52,558899999999994;32,006699999999995;28,0061
222;52,558899999999994;32,0073;28,0061
223;52,558899999999994;32,0075;29,0066
224;53,559599999999996;32,012299999999996;29,0066
225;53,559599999999996;32,04235;29,0066
226;53,559599999999996;32,96815;29,0066
227;53,559599999999996;33,007349999999995;29,0066
228;53,559599999999996;33,0074;29,0066
229;53,559599999999996;33,0074;29,998199999999997
230;54,5593;33,01275;29,998199999999997
231;54,5593;33,59905;29,998199999999997
232;54,5593;33,96855;29,998199999999997
233;54,5593;34,0075;29,998199999999997
234;55,5785;34,00765;29,998199999999997
235;55,5785;34,00795;29,998199999999997
236;55,5785;34,0409;31,006899999999998
237;56,5716;34,599;31,006899999999998
238;56,5716;35,00775;31,006899999999998
239;56,5716;35,0079;31,006899999999998
240;56,5716;35,0079;31,006899999999998
241;56,5716;35,00805;31,006899999999998
242;57,5721;35,0411;32,0072
243;57,5721;35,9719;32,0072
244;58,571799999999996;36,007999999999996;32,0072
245;58,571799999999996;36,0087;32,0072
246;59,571999999999996;36,024899999999995;32,0072
247;59,571999999999996;36,41005;32,0072
248;59,571999999999996;36,83395;32,0072
249;60,5723;37,00795;33,007
250;60,5723;37,0083;33,007
251;60,5723;37,00895;33,007
252;60,5723;37,05065;33,007
253;60,5723;37,83285;33,007
254;61,5725;37,83285;33,007
255;61,5725;38,0079;34,0072
256;61,5725;38,030449999999995;34,0072
257;61,5725;38,052749999999996;34,0072
258;62,572799999999994;38,052749999999996;34,0072
259;62,572799999999994;38,954699999999995;34,0072
260;62,572799999999994;39,0087;34,0072
261;63,573299999999996;39,030699999999996;34,0072
262;63,573299999999996;39,053149999999995;34,0072
263;64,5731;39,88845;35,0073
264;64,5731;40,0089;35,0073
265;64,5731;40,0091;35,0073
266;64,5731;40,00925;35,0073
267;65,5921;40,031;35,0073
268;65,5921;40,88845;35,0073
269;65,5921;40,88845;35,0073
270;65,5921;41,0091;36,0076
271;66,58579999999999;41,0092;36,0076
272;66,58579999999999;41,03105;36,0076
273;66,58579999999999;41,531549999999996;36,0076
274;66,58579999999999;42,00935;36,0076
275;66,58579999999999;42,00935;36,0076
276;67,5861;42,0315;37,007799999999996
277;67,5861;42,5312;37,007799999999996
278;67,5861;42,5318;37,007799999999996
279;67,5861;42,889199999999995;37,007799999999996
280;68,5857;43,00955;37,007799999999996
281;68,5857;43,00955;38,007999999999996
282;69,586;43,05395;38,007999999999996
283;69,586;43,05395;38,007999999999996
284;70,5861;43,53205;38,007999999999996
285;70,5861;44,009499999999996;38,007999999999996
286;70,5861;44,009899999999995;38,007999999999996
287;70,5861;44,0317;39,0086
288;71,5864;44,0541;39,0086
289;71,5864;45,009949999999996;39,0086
290;71,5864;45,01;39,0086
291;71,5864;45,01;40,0086
292;72,58659999999999;45,032;40,0086
293;72,58659999999999;46,0102;40,0086
294;72,58659999999999;46,0102;40,0086
295;72,58659999999999;46,0102;40,0086
296;72,58659999999999;46,0104;41,0091
297;73,5873;47,005649999999996;41,0091
298;73,5873;47,0104;41,0091
299;73,5873;47,01045;41,0091
300;73,5873;47,010749999999994;41,0091
301;74,58709999999999;47,04255;41,0091
302;74,58709999999999;47,542249999999996;42,0094
303;74,58709999999999;48,0106;42,0094
304;74,58709999999999;48,0106;42,0094
305;74,58709999999999;48,010799999999996;42,0094
306;75,606;48,038799999999995;42,0094
307;75,606;48,06675;42,0094
308;75,606;49,01085;42,0094
309;75,606;49,0109;43,0092
310;76,59949999999999;49,0393;43,0092
